ID,Address,City,State,Zip,Country,Lat,Lng
ChIJGcH5q7dZwokRYbN98qUjbn8,525 W 26th St,New York,NY,10001,USA,40.7503804,-74.003922
ChIJ23oRg5hZwokRv5yGWWkOFKE,25 Union Square W,New York,NY,10003,USA,40.7362882,-73.9912075
EiQ1IEUgNDB0aCBTdCwgTmV3IFlvcmssIE5ZIDEwMDE2LCBVU0E,5 E 40th St,New York,NY,10016,USA,40.7520213,-73.9813624
ChIJs1qW96pZwokRhhI3Ps5xrYU,1040 6th Ave,New York,NY,10018,USA,40.7529964,-73.98504179999999
EiU1NSBFIDUzcmQgU3QsIE5ldyBZb3JrLCBOWSAxMDAyMiwgVVNB,55 E 53rd St,New York,NY,10022,USA,40.7593782,-73.9733206
ChIJnaMn-8RgwokRFYOXxNhUgkY,8900 Sutphin Blvd,Jamaica,NY,11435,USA,40.70349969999999,-73.8088879
EioxOTI3IEZsYXRidXNoIEF2ZSwgQnJvb2tseW4sIE5ZIDExMjEwLCBVU0E,1927 Flatbush Ave,Brooklyn,NY,11210,USA,40.6228094,-73.93705609999999
ChIJneZZwklewokR6hp0jGFMbfU,92-77 Queens Blvd,Rego Park,NY,11374,USA,40.732238,-73.86636
ChIJFXrP4l9YwokRppLTEIxCHa4,141 Amsterdam Ave,New York,NY,10023,USA,40.7748629,-73.9839653
EiUyMjIgQnJvYWR3YXksIE5ldyBZb3JrLCBOWSAxMDAzOCwgVVNB,222 Broadway,New York,NY,10038,USA,40.7111738,-74.0088093
ChIJO0Idp_9YwokRg9bmH8B8fQI,55 W 46th St,New York,NY,10036,USA,40.7572615,-73.9810285
ChIJwZEiMvZYwokR4RqJcK10O1I,1000 8th Ave,New York,NY,10019,USA,40.7671243,-73.9830144
ChIJXUg_2-hYwokRUed0DcBeO0I,1077 3rd Ave,New York,NY,10065,USA,40.76424129999999,-73.9643664
